Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename,Addresses_Patterns,"Reasoning for ""Addresses_Patterns""",Addresses_LogicalReasoning,"Reasoning for ""Addresses_LogicalReasoning""",Mentions_NetworksInternet,"Reasoning for ""Mentions_NetworksInternet""",Mentions_ComputingImpact,"Reasoning for ""Mentions_ComputingImpact""",Type_PluggedActivity,"Reasoning for ""Type_PluggedActivity""",Type_UnpluggedActivity,"Reasoning for ""Type_UnpluggedActivity""",Type_VisualProgramming,"Reasoning for ""Type_VisualProgramming""",Type_Course,"Reasoning for ""Type_Course""",Type_Video,"Reasoning for ""Type_Video""",Duration_Session,"Reasoning for ""Duration_Session""",Duration_Week,"Reasoning for ""Duration_Week""",Duration_Month,"Reasoning for ""Duration_Month""",Fits_EducacionInfantil,"Reasoning for ""Fits_EducacionInfantil""",Fits_CicloEP,"Reasoning for ""Fits_CicloEP""",Fits_ESO,"Reasoning for ""Fits_ESO""",Fits_Bachillerato,"Reasoning for ""Fits_Bachillerato""",Fits_Mathematics,"Reasoning for ""Fits_Mathematics""",Promotes_Teamwork,"Reasoning for ""Promotes_Teamwork""","Promotes_CreativityScientificSpirit ","Reasoning for ""Promotes_CreativityScientificSpirit """,Promotes_GoodUseICT,"Reasoning for ""Promotes_GoodUseICT""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
No title found,-,-,-,-,-,-,Star-Wars-Building-a-Galaxy-With-Code-Blockly.pdf,no,Elicit did not find any explicit mention in the description that learners will practice pattern recognition or generalization.,maybe,Elicit found that the resource partially addresses logical reasoning through the inclusion of coding and programming concepts.,no,"Elicit did not find any explicit mention of networks, the internet, or web technologies in the description.",no,"Elicit did not find any explicit mention of the social, ethical, or environmental impact of computing in the description.",yes,"Elicit found that the resource is a plugged (computer-based) activity, as it uses Blockly and computers.",no,Elicit found that the resource is not primarily an unplugged activity (no computer required).,yes,"Elicit found that the resource requires a visual / block-based programming environment, as it explicitly mentions the use of drag-drop blocks/Blockly.",no,"Elicit found that the resource is not structured as a full course or curriculum unit, but rather as a single lesson (50 minutes).",no,Elicit did not find any mention of the resource being mainly video-based material.,yes,"Elicit found that the estimated duration of the resource is 50 minutes, which is within the 2-hour session criterion.",no,Elicit found that the estimated duration of the resource (50 minutes) is not within the 2-4 sessions (≈ one week) criterion.,no,Elicit found that the estimated duration of the resource (50 minutes) is not within the 5-15 sessions (≈ one month) criterion.,yes,Elicit found that the resource is explicitly suitable for Educación Infantil (ages 6+).,yes,Elicit found that the resource is suitable for Ciclo de Educación Primaria (ages 6+).,yes,"Elicit found that the resource is suitable for ESO (ages 11+, for the JavaScript version).",maybe,"Elicit found that the resource could possibly be suitable for Bachillerato, but this is not explicitly stated.",no,Elicit did not find any explicit mention of the resource being intended for Mathematics curricula.,maybe,Elicit did not find any mention of the resource promoting teamwork.,yes,Elicit found that the resource partially promotes creativity and scientific spirit by introducing computer science concepts.,yes,"Elicit found that the resource promotes the good use of ICT, as it mentions a ""safe, supportive environment"".",Exclude,"A Star Wars-themed coding lesson for ages 6-11 using Blockly visual programming, offering an introductory computer science experience in a safe environment. The resource primarily focuses on plugged computing activities, introduces core programming concepts, and is suitable for younger learners, though it does not explicitly address all pedagogical criteria. It provides a structured 50-minute session that promotes basic ICT skills and scientific thinking.",2.3
No title found,Alex Martinez,-,-,-,-,-,Customizing-Language-Models.pdf,maybe,No explicit mention of pattern recognition or generalization in the abstract.,maybe,"While critical thinking is implied through analyzing chatbot responses, logical reasoning isn't explicitly mentioned in the abstract.",yes,"Not explicitly mentioned, though AI/chatbots are web-based technologies.",yes,"The lesson explicitly discusses ""impact of past technological innovations on society"" and focuses on understanding AI's capabilities and limitations.",yes,"The activity involves hands-on interaction with chatbots, indicating a plugged (computer-based) activity.",no,No - This appears to be primarily computer-based.,no,No mention of visual programming.,yes,"This is structured as a lesson within a larger unit with clear learning objectives, indicating a course or curriculum unit.",no,No indication of video-based content.,yes,"Appears to be designed as a single lesson, indicating a duration up to 2 hours.",no,No indication of longer duration.,no,No indication of longer duration.,no,"Age/level not explicitly specified, though content suggests secondary education level.",maybe,"Age/level not explicitly specified, though content suggests secondary education level.",no,"Age/level not explicitly specified, though content suggests secondary education level.",no,"Age/level not explicitly specified, though content suggests secondary education level.",no,No specific mathematics focus.,maybe,No explicit mention of teamwork.,yes,Promotes scientific inquiry through experimentation with temperature settings and critical analysis of AI responses.,yes,Strongly focuses on responsible engagement with AI technology and understanding its limitations.,Exclude,"This lesson on generative AI provides a plugged, computer-based activity that strongly promotes critical thinking and responsible technology use, with a clear focus on understanding computing impacts. It offers hands-on exploration of chatbot technologies, emphasizing scientific inquiry and good ICT practices, though it lacks explicit teamwork components and pattern recognition elements. The resource appears most suitable for secondary education levels, with a nuanced approach to understanding AI's capabilities and limitations.",2.3
 Hide All Lessons  Predict Skill Building Predict Skill Building Practice Assessment Challenge,-,-,-,-,-,-,Creating-Apps-with-Devices-micro-bit-24-25.pdf,yes,"The resource explicitly mentions ""counter pattern"" and pattern recognition in programming, indicating that it addresses pattern recognition and generalization.",yes,"The resource includes if-statements, decision-making, and complex program logic, suggesting that it addresses logical reasoning.",no,-,no,-,yes,"The resource involves programming with App Lab and micro:bit, indicating that it is a plugged (computer-based) activity.",no,"The activities are computer-based, suggesting that it is not primarily an unplugged activity.",yes,"The resource uses block-based programming (onEvent blocks, setProperty blocks), indicating that it requires a visual/block-based programming environment.",yes,"The resource is structured as multiple lessons (4, 5, etc.), suggesting that it is structured as a full course or curriculum unit.",no,"The resource mentions videos, but they are not the primary delivery method.",no,The abstract does not provide enough information to definitively determine the session length.,no,"The structure of the resource suggests multiple sessions, but the exact duration is not specified.",maybe,-,no,-,no,-,no,-,no,-,maybe,"The resource involves data analysis, but it is not primarily focused on mathematics.",no,-,yes,"The resource involves scientific data collection and analysis, suggesting that it promotes creativity and scientific spirit.",yes,"The resource teaches proper programming and technology use, indicating that it promotes the good use of ICT.",Exclude,"This resource provides a comprehensive programming curriculum focusing on visual block-based coding using App Lab and micro:bit, with strong emphasis on pattern recognition, logical reasoning, and data analysis. The materials promote scientific thinking and good ICT practices through hands-on technological learning, though they lack explicit discussion of networking, computing impacts, or specific educational level targeting. The lessons demonstrate a structured approach to teaching computational thinking through practical, technology-driven activities.",2.3
No title found,-,-,-,-,-,-,Star-Wars-Building-a-Galaxy-With-Code-JavaScript.pdf,maybe,"Programming inherently involves pattern recognition and generalization, but this is not explicitly stated in the abstract.",maybe,"Programming inherently involves logical reasoning, but this is not explicitly stated in the abstract.",no,"The abstract does not mention networks, the internet, or web technologies.",no,"The abstract does not discuss the social, ethical, or environmental impact of computing.",yes,"The abstract clearly indicates that the resource is a plugged (computer-based) activity, as it involves programming ""droids"".",no,"The abstract indicates that the resource is not an unplugged activity, as it involves programming ""droids"".",yes,"The abstract suggests that the resource likely involves a visual / block-based programming environment, such as Scratch, given the context of game creation.",no,The abstract does not provide enough information to determine if the resource is structured as a full course or curriculum unit.,no,The abstract does not indicate that the resource is mainly video-based material.,no,The abstract does not provide any information about the estimated duration of the resource.,no,The abstract does not provide any information about the estimated duration of the resource.,no,The abstract does not provide any information about the estimated duration of the resource.,no,The abstract does not explicitly state that the resource is suitable for Educación Infantil.,no,The abstract does not explicitly state that the resource is suitable for Ciclo de Educación Primaria.,no,The abstract does not explicitly state that the resource is suitable for ESO.,no,The abstract does not explicitly state that the resource is suitable for Bachillerato.,no,The abstract does not explicitly mention that the resource is intended for Mathematics curricula.,maybe,The abstract does not explicitly state that the resource promotes teamwork.,maybe,"The abstract suggests that the resource promotes creativity through game creation, but does not explicitly mention the promotion of scientific spirit.",maybe,The abstract does not explicitly state that the resource promotes the good use of ICT.,Exclude,"A Star Wars droid programming game activity offers potential for creative, plugged learning with visual programming elements. However, the brief description lacks critical details about educational level, duration, specific learning objectives, and pedagogical approaches. Significant additional context would be needed to comprehensively assess its alignment with comprehensive computing education criteria.",1
Elementary Game Design,-,-,-,-,-,-,Elementary-Game-Design.pdf,yes,"The abstract does not explicitly mention pattern recognition, but Elicit notes that game design inherently involves some pattern thinking.",yes,"Elicit states that logical reasoning is strongly present through game design, programming logic, and problem-solving activities.",no,- No explicit mention of networks or internet technologies.,no,"- No explicit discussion of social, ethical, or environmental impacts.",yes,"Elicit clearly indicates that the activity is computer-based, using the Sprite Lab programming environment.",no,"Elicit states that the activities are all computer-based, so it is not an unplugged activity.",yes,"Elicit explicitly mentions that the resource uses Sprite Lab, a ""block-based programming environment"".",yes,"Elicit notes that the resource is structured as a complete module with 5 distinct lessons, indicating that it is a Type_Course.",no,- No indication of video-based material.,maybe,"Elicit states that the resource appears to be a Duration_Month, with 5 lessons and substantial content.",maybe,"Elicit states that the resource appears to be a Duration_Month, with 5 lessons and substantial content.",maybe,"Elicit states that the resource appears to be a Duration_Month, with 5 lessons and substantial content.",maybe,"- No explicit mention of educational levels (Educación Infantil, EP, ESO, or Bachillerato).",maybe,"- No explicit mention of educational levels (Educación Infantil, EP, ESO, or Bachillerato).",maybe,"- No explicit mention of educational levels (Educación Infantil, EP, ESO, or Bachillerato).",maybe,"- No explicit mention of educational levels (Educación Infantil, EP, ESO, or Bachillerato).",yes,"Elicit notes that the variables and scoring systems suggest mathematical content, though it is not the primary focus.",yes,Elicit explicitly mentions that the resource promotes collaborative work during the Game Jam activity.,yes,Elicit states that there is a strong emphasis on creativity in game design and a scientific approach to user testing and feedback.,yes,Elicit indicates that the resource promotes the constructive use of technology through programming and game development.,Include,"This game design module offers a comprehensive, plugged activity using visual programming that strongly promotes logical reasoning, creativity, and teamwork through a structured five-lesson curriculum. While the resource excels in technological skill-building and scientific approach, it lacks explicit discussion of computing's broader impacts and does not specify a target educational level. The course emphasizes practical game development skills using block-based programming in a collaborative, project-driven environment.",2.9
No title found,-,-,-,-,-,-,Poem-Art.pdf,no,"Elicit notes that the description does not explicitly state that learners will practice pattern recognition or generalization, so there is no clear mention of this criterion being addressed.",maybe,"Elicit indicates that logical reasoning is likely involved in the coding aspect of the activity, but this is not explicitly stated in the description.",no,"Elicit notes that the description does not mention networks, the internet, or web technologies.",no,"Elicit states that the description does not explicitly mention the social, ethical, or environmental impact of computing.",maybe,"Elicit suggests that the activity is likely a plugged (computer-based) activity, given that it is from Code.org and mentions coding.",no,"Elicit indicates that it is unclear whether the activity is primarily an unplugged activity, as the description does not provide this information.",maybe,"Elicit notes that the description does not specify whether the activity requires a visual/block-based programming environment, but suggests it is likely given the association with Code.org.",maybe,"Elicit states that the activity can be part of a larger module or curriculum called ""Coding with Poetry"", indicating a partial alignment with the ""Type_Course"" criterion.",no,Elicit notes that the description does not mention whether the resource is mainly video-based.,yes,"Elicit confirms that the activity is explicitly described as a ""1-hour standalone lesson"", which aligns with the ""Duration_Session"" criterion.",no,"Elicit states that the activity can be part of a larger module, but the standalone duration is 1 hour, which does not align with the ""Duration_Week"" criterion.",no,"Elicit indicates that the activity can be part of a larger module, but the standalone duration is 1 hour, which does not align with the ""Duration_Month"" criterion.",no,Elicit notes that the description does not specify whether the resource is explicitly suitable for Educación Infantil.,maybe,Elicit states that the description does not indicate whether the resource is suitable for Ciclo de Educación Primaria.,maybe,Elicit notes that the description does not clearly specify whether the resource is suitable for ESO.,no,Elicit indicates that the description does not state whether the resource is suitable for Bachillerato.,no,"Elicit states that the description mentions the integration of the activity with mathematics, suggesting a partial alignment with the ""Fits_Mathematics"" criterion, but it is not the primary focus.",maybe,Elicit notes that the description does not mention whether the activity promotes teamwork.,maybe,"Elicit suggests that the integration of poetry in the activity may promote creativity and scientific spirit, but this is not explicitly stated in the description.",no,Elicit indicates that the description does not explicitly mention whether the activity promotes the good use of ICT.,Exclude,"A one-hour coding lesson integrating poetry with computer science, aligned with educational standards and potentially suitable for mathematics curricula. The resource suggests creativity and coding elements, though specific details about learning outcomes, computational thinking skills, and target age group remain unclear. Its connection to Code.org's curriculum indicates potential for structured computer science learning.",1.3
No title found,-,-,-,-,-,-,Grade-4-Maker-with-micro-bit.pdf,yes,"The course teaches fundamental coding principles including loops and sequences, which inherently involve pattern recognition.",yes,The course explicitly mentions conditional logic and programming principles that require logical reasoning.,no,-,no,-,yes,"The course uses a micro:bit physical computing device and involves coding, indicating it is a plugged activity.",maybe,"The course mentions an optional unplugged dance activity, but it is not the primary focus.",no,"While the course involves coding, the specific programming environment is not specified.",yes,The course is explicitly described as a course with multiple pathways and lessons.,no,-,no,"The course mentions ""Week 1"", but the total duration is not specified.",no,"The course mentions ""Week 1"", but the total duration is not specified.",no,"The course mentions ""Week 1"", but the total duration is not specified.",maybe,"The course is mentioned to be suitable for Grade 4, which would fit within Educación Primaria.",no,"The course is mentioned to be suitable for Grade 4, which would fit within Educación Primaria.",no,-,no,-,maybe,"While coding often involves mathematics, the course is not explicitly positioned as a mathematics resource.",maybe,-,yes,"The course involves hands-on technology learning and practical application of computing concepts, which promotes creativity and scientific spirit.",yes,"The course focuses on practical and educational use of technology, promoting the good use of ICT.",Exclude,"This Grade 4 micro:bit course provides a plugged computing activity that strongly addresses logical reasoning, pattern recognition, and promotes creativity through hands-on technology learning. While the resource fits well within primary education and emphasizes good ICT use, it lacks explicit coverage of network technologies, computing impacts, and collaborative aspects. The curriculum offers a structured approach to introducing fundamental coding principles through practical, physical computing projects.",2.3
No title found,-,-,-,-,-,-,Play-Lab.pdf,maybe,"Elicit notes that while programming activities typically involve pattern recognition and generalization, the abstract does not explicitly state that learners will practice these skills.",maybe,"Elicit indicates that logical reasoning is implicit in programming activities, but the abstract does not explicitly mention that learners will practice logical reasoning.",no,"Elicit states that the abstract does not mention networks, the internet, or web technologies.",no,"Elicit notes that the abstract does not explicitly mention the social, ethical, or environmental impact of computing.",yes,"Elicit clearly states that the resource is a computer-based, plugged activity.",no,"Elicit indicates that the resource is not an unplugged activity, as it requires a computer.",yes,"Elicit explicitly states that the resource requires a visual/block-based programming environment, such as Scratch.",no,"Elicit notes that the resource appears to be a single lesson, not a full course or curriculum unit.",no,Elicit states that the abstract does not mention the resource being video-based.,yes,"Elicit clearly states that the estimated duration of the resource is 47 minutes, which is within the ""Session"" duration criteria.",no,"Elicit indicates that the resource is a single session, not 2-4 sessions (approximately one week).",no,"Elicit notes that the resource is a single session, not 5-15 sessions (approximately one month).",no,Elicit states that the resource is not explicitly suitable for Educación Infantil.,yes,Elicit indicates that the resource is suitable for the upper primary level (Ciclo de Educación Primaria).,yes,Elicit states that the resource is suitable for the ESO (Educación Secundaria Obligatoria) age range.,no,"Elicit notes that the resource could be adapted for Bachillerato, but it is not the primary target audience.",no,Elicit states that the abstract does not specifically mention the resource being intended for Mathematics curricula.,no,Elicit indicates that the abstract does not mention the resource promoting teamwork.,maybe,"Elicit notes that while creating a game suggests creativity, the abstract does not strongly emphasize the promotion of creativity and scientific spirit.",no,Elicit states that the abstract does not explicitly address the promotion of the good use of ICT.,Exclude,"A computer science lesson for ages 10-16 using block-based coding, focusing on creating a game in a single 47-minute session. The resource meets several technical criteria like being a plugged, visual programming activity suitable for ESO and upper primary education, while demonstrating potential for logical reasoning and creativity. However, it lacks explicit mentions of broader computing concepts like networks, computing impact, or teamwork.",1.6
No title found,-,-,-,-,-,-,Outbreak-Simulator.pdf,maybe,"The virus outbreak simulation would likely involve pattern recognition, as the learners would need to identify patterns in the simulated virus spread.",yes,Programming the virus outbreak simulation would require logical reasoning skills from the learners.,no,-,no,-,yes,"The resource uses the Sprite Lab, which is a computer-based, plugged activity.",no,-,yes,"The Sprite Lab is a visual programming environment, so the resource requires visual/block-based programming.",no,"The resource appears to be a single activity, not a full course or curriculum unit.",no,-,maybe,"The programming task seems to be session-length, so it is likely up to 2 hours in duration.",no,-,no,-,no,-,no,-,no,-,no,-,maybe,"The virus outbreak simulation likely involves mathematical concepts, such as modeling and simulation.",no,-,maybe,"The virus outbreak simulation involves scientific modeling and problem-solving, which promotes creativity and scientific spirit.",yes,The use of programming for modeling and simulation promotes the good use of ICT.,Exclude,"A Sprite Lab virus outbreak simulation offers potential for visual programming, scientific modeling, and logical reasoning across multiple educational dimensions. While the brief description suggests strong computational thinking elements, significant uncertainty exists regarding specific educational levels, duration, and comprehensive learning objectives. The activity appears to promote creative problem-solving through technological engagement.",1.3
No title found,-,-,-,-,-,-,Minecraft-Hero-s-Journey.pdf,yes,"The abstract mentions that the resource involves coding, which typically requires pattern recognition and generalization abilities.",maybe,"The abstract implies that coding involves logical reasoning, though this is not explicitly stated.",no,-,no,-,yes,The abstract indicates that the resource is a computer-based activity involving coding.,no,-,no,The abstract does not specify the type of coding environment used.,maybe,"The abstract refers to a ""lesson"" but it is unclear if the resource is part of a larger course or curriculum.",no,-,yes,"The abstract mentions the activity takes ""an hour"" to complete.",no,-,no,-,no,"The abstract states the resource is not suitable for Educación Infantil, as it requires reading ability.",yes,"The abstract indicates the resource is suitable for ages 6+ and reading ability, which aligns with Ciclo de Educación Primaria.",yes,"The abstract mentions the resource is suitable for ""all ages"", which would include ESO.",yes,"The abstract mentions the resource is suitable for ""all ages"", which would include Bachillerato.",no,-,no,-,maybe,"The abstract implies the coding puzzles may promote creativity and scientific spirit, though this is not explicitly stated.",maybe,"The abstract mentions the resource provides a ""safe, supportive environment"", which implies it promotes the good use of ICT, though this is not directly stated.",Exclude,"A coding lesson designed for children aged 6 and above offers an introductory computer science experience with puzzles and activities. The resource appears suitable for primary and secondary education levels, focusing on individual learning within a safe environment and targeting basic coding skills through a one-hour session.",1.6
No title found,-,-,-,-,-,-,Minecraft-Designer.pdf,maybe,"The abstract mentions ""coding and programming"", which Elicit states typically involve pattern recognition and logical reasoning skills implicitly, even though they are not explicitly mentioned.",maybe,"The abstract does not explicitly mention logical reasoning, according to Elicit.",no,"The abstract does not explicitly mention networks, the internet, or web technologies, as noted by Elicit.",no,"The abstract does not explicitly mention the social, ethical, or environmental impact of computing, as stated by Elicit.",yes,"Elicit clearly states that the resource is a plugged activity, as it uses Minecraft.",no,"Elicit indicates that the resource is not primarily an unplugged activity, as it uses Minecraft.",yes,"Elicit states that the resource uses block-based programming, which aligns with the ""visual/block-based programming environment"" criterion.",no,"Elicit notes that the resource is structured as a lesson, which suggests it is not a full course or curriculum unit.",no,Elicit states that the resource is not primarily video-based.,yes,"Elicit explicitly states that the resource has a duration of 47 minutes, plus 5 minutes for getting started, which fits within the ""Session"" duration (≤2 hours) criterion.",no,-,no,-,yes,"Elicit states that the resource is suitable for ages 6+ through high school, which spans the Educación Infantil level.",yes,"Elicit states that the resource is suitable for ages 6+ through high school, which spans the Ciclo de Educación Primaria level.",yes,"Elicit states that the resource is suitable for ages 6+ through high school, which spans the ESO level.",yes,"Elicit states that the resource is suitable for ages 6+ through high school, which spans the Bachillerato level.",no,Elicit does not mention any specific alignment with mathematics curricula.,no,Elicit notes that the abstract does not explicitly mention a teamwork component.,maybe,"Elicit states that some creativity is implied through the mention of a ""free play level"", which suggests the resource may promote creativity and scientific spirit.",yes,Elicit indicates that the resource promotes the use of ICT through coding.,Exclude,"A Minecraft-based coding lesson for ages 6+ that uses block-based programming, fitting within a single session and spanning educational levels from Primaria to Bachillerato. The resource provides an introductory computer science experience with implicit logical reasoning and creativity potential, though lacking explicit mentions of teamwork or broader computing impacts.",2.3
No title found,-,-,-,-,-,-,Creating-Apps-with-Devices-Circuit-Playground-24-25.pdf,no,The abstract does not provide enough information to determine whether the resource addresses patterns or generalization.,no,The abstract does not provide enough information to determine whether the resource addresses logical reasoning.,maybe,"The abstract mentions ""App Lab"", which might involve web technologies, but this is not explicitly stated.",no,"The abstract does not mention anything about the social, ethical, or environmental impact of computing.",maybe,"The abstract suggests that the resource is likely a plugged (computer-based) activity, as it mentions ""App Lab"".",no,The abstract does not provide enough information to determine whether the resource is primarily an unplugged activity.,no,"The abstract suggests that the resource might involve programming, but it is unclear if it requires a visual/block-based programming environment.",maybe,"The abstract indicates that the resource is structured as lessons, suggesting a course format.",no,The abstract does not clearly indicate that the resource is mainly video-based.,no,The abstract does not provide enough information to determine the estimated duration of the resource.,no,The abstract does not provide enough information to determine the estimated duration of the resource.,no,The abstract does not provide enough information to determine the estimated duration of the resource.,no,The abstract does not provide enough information to determine if the resource is suitable for Educación Infantil.,no,The abstract does not provide enough information to determine if the resource is suitable for Ciclo de Educación Primaria.,no,The abstract does not provide enough information to determine if the resource is suitable for ESO.,no,The abstract does not provide enough information to determine if the resource is suitable for Bachillerato.,no,The abstract does not provide enough information to determine if the resource is intended for Mathematics curricula.,no,The abstract does not provide enough information to determine if the resource promotes teamwork.,no,The abstract does not provide enough information to determine if the resource promotes creativity and scientific spirit.,no,The abstract does not provide enough information to determine if the resource promotes the good use of ICT.,Exclude,"The extremely limited text provides insufficient information to confidently assess most screening criteria, with only a tentative suggestion of a potentially computer-based programming activity. Critical details about learning objectives, computational thinking elements, and educational context are entirely absent, rendering comprehensive evaluation impossible.",0.3
No title found,-,-,-,-,-,-,Minecraft-Voyage-Aquatic.pdf,maybe,"The abstract mentions ""coding and computer science"" which suggests the resource involves programming activities, and the mention of ""puzzles"" and ""tutorial"" indicates the resource likely includes pattern recognition and logical reasoning exercises.",maybe,"The abstract mentions ""coding and computer science"" which suggests the resource involves programming activities, and the mention of ""puzzles"" and ""tutorial"" indicates the resource likely includes logical reasoning exercises.",no,-,no,-,maybe,"Given that it's a coding lesson, the resource is likely a plugged (computer-based) activity.",no,"The resource is likely a plugged (computer-based) activity, so it is unlikely to be an unplugged activity.",maybe,"The mention of the resource being suitable for a wide age range (6+ to high school) suggests it likely uses a visual/block-based programming environment, such as Scratch.",no,"The abstract indicates the resource is a single lesson, not a full course or curriculum unit.",no,-,yes,"The abstract mentions the resource involves ""working through puzzles for an hour"", indicating the duration is a single session.",no,-,no,-,maybe,"The resource is suitable for a wide age range, including 6+ years old, which suggests it may be suitable for Educación Infantil.",maybe,"The resource is suitable for a wide age range, including elementary school (6+ years old), which suggests it may be suitable for Ciclo de Educación Primaria.",maybe,"The resource is suitable for a wide age range, including high school, which suggests it may be suitable for ESO.",maybe,"The resource is suitable for a wide age range, including high school, which suggests it may be suitable for Bachillerato.",no,-,no,-,no,-,no,-,Exclude,"A coding lesson for ages 6+ that introduces computer science through puzzles and tutorials, likely involving visual programming and logical reasoning within a single-session activity. While suitable for multiple educational levels, the brief description lacks explicit details about teamwork, creativity, or broader computing impacts.",1.6
No title found,-,-,-,-,-,-,Minecraft-Adventurer.pdf,maybe,"The abstract mentions ""puzzles"" and ""coding"", which typically involve pattern recognition and generalization, though this is not explicitly stated.",maybe,The abstract does not explicitly state that learners will practice logical reasoning.,no,"The abstract does not mention networks, the internet, or web technologies.",no,"The abstract does not explicitly mention the social, ethical, or environmental impact of computing.",yes,The abstract clearly indicates that the resource is a plugged (computer-based) activity using Minecraft.,no,"The abstract indicates that the activity is a plugged (computer-based) activity, not an unplugged activity.",yes,The abstract explicitly mentions the use of a block-based programming environment.,no,"The abstract states that the resource is a single 45-minute lesson, not a full course or curriculum unit.",no,The abstract indicates that the resource is not primarily video-based.,yes,"The abstract explicitly states that the estimated duration of the activity is 45 minutes, which fits within the Session criterion.",no,"The abstract indicates that the activity is a single 45-minute session, not 2-4 sessions (≈ one week).",no,"The abstract indicates that the activity is a single 45-minute session, not 5-15 sessions (≈ one month).",no,"The abstract states that the resource is suitable for ages 6+ through high school, which includes Educación Infantil.",yes,"The abstract states that the resource is suitable for ages 6+ through high school, which includes Ciclo de Educación Primaria.",yes,"The abstract states that the resource is suitable for ages 6+ through high school, which includes ESO.",maybe,"The abstract states that the resource is suitable for ages 6+ through high school, which may include early Bachillerato.",no,The abstract does not explicitly mention that the resource is intended for Mathematics curricula.,no,The abstract does not explicitly mention that the activity promotes teamwork.,maybe,"The abstract suggests that the activity promotes some creativity through the ""free play level"", but this is not strongly emphasized.",yes,"The abstract mentions a ""safe, supportive environment"", which suggests that the activity promotes the good use of ICT.",Exclude,"A Minecraft-based coding lesson for ages 6+ offers a plugged, block-based programming activity within a 45-minute session, suitable for Educación Primaria and ESO students. While implicitly addressing computational thinking, the resource lacks explicit mentions of teamwork, logical reasoning, and broader computing impacts, though it provides a structured introduction to computer science concepts.",2.3
No title found,-,-,-,-,-,-,Hello-World-Soccer.pdf,maybe,"Elicit notes that the resource likely involves pattern recognition or generalization, as programming typically requires these skills, even though it is not explicitly stated in the abstract.",maybe,"Elicit indicates that the resource likely involves logical reasoning, as programming typically requires these skills, even though it is not explicitly mentioned in the abstract.",no,"Elicit states that the abstract does not mention networks, the internet, or web technologies.",no,"Elicit states that the abstract does not mention the social, ethical, or environmental impact of computing.",yes,"Elicit clearly states that the resource is a plugged (computer-based) activity, as it involves the use of Sprite Lab, a computer programming environment.",no,"Elicit indicates that the resource is not an unplugged activity, as it clearly involves the use of a computer-based programming environment.",yes,"Elicit states that the resource requires a visual/block-based programming environment, specifically Sprite Lab, which is similar to Scratch.",no,"Elicit notes that the resource is described as a single ""lesson"" and not a full course or curriculum unit.",no,Elicit states that the abstract does not mention the resource being primarily video-based.,yes,"Elicit indicates that the resource is likely a session-level activity, as it is described as a ""lesson"" which typically fits within 2 hours.",no,Elicit states that the duration beyond a single session is unclear from the information provided in the abstract.,no,Elicit states that the duration beyond a single session is unclear from the information provided in the abstract.,no,Elicit notes that the abstract does not provide any information about the educational level suitability of the resource.,no,Elicit notes that the abstract does not provide any information about the educational level suitability of the resource.,no,Elicit notes that the abstract does not provide any information about the educational level suitability of the resource.,no,Elicit notes that the abstract does not provide any information about the educational level suitability of the resource.,no,Elicit states that the abstract does not specifically mention the resource being intended for Mathematics curricula.,no,Elicit states that the abstract does not mention whether the resource promotes teamwork.,yes,"Elicit indicates that the resource promotes creativity and scientific spirit, as it mentions ""imaginative and fun projects"".",maybe,"Elicit suggests that the resource implicitly promotes the good use of ICT, as it teaches programming fundamentals.",Exclude,"A computer programming lesson using Sprite Lab offers a visual, plugged activity that promotes creativity through interactive sprite programming. The resource appears suitable for teaching basic programming concepts within a single session, though specific educational levels and detailed learning outcomes remain unclear from the description.",1.6
No title found,-,-,-,-,-,-,Hello-World-Space.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
No title found,-,-,-,-,-,-,Hello-World-Retro.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
No title found,-,-,-,-,-,-,Hello-World-Food.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
No title found,-,-,-,-,-,-,Hello-World-Animals.pdf,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,no,,Exclude,,0.1
